SEP=,
SUBSCRIPTION NAME,SUBSCRIPTION ID,MY ROLE,CURRENT COST,SECURE SCORE,PARENT MANAGEMENT GROUP,STATUS,
"Cyber Security Dev","2f4d019b-4a08-45a1-a092-a52427a9fc17","Reader","$66.94","39","CS Non-Prod","Active"
"Cyber Security Test","11a6fb25-e963-4503-9f13-2f400ca2ad2a","Reader","$1,197.08","49","CS Non-Prod","Active"
"Cyber Security EKSM","32f5a960-3421-42f3-bf4d-192f33fc6009","Reader","$0.31","25","CS Prod","Active"
"Cyber Security Prod","97df6729-2a4f-4376-a3bd-2bf103f9ee7a","Reader","$1,462.31","37","CS Prod","Active"
"Blackbaud Labs","e0aa9adb-1c83-4994-82cb-d1d2c41b49ef","Reader","$4.42","38","Blackbaud RDO - Internal - Dev","Active"
"Visual Studio Online","dbc0f4f1-51b4-4a46-a4d8-4cb3039ab9fc","Reader","$15.73","-","Blackbaud RDO","Active"
"CSOps - Data & Automation Engineering","247a5cb1-08b6-4ae7-bf62-44c93cb1a472","Reader","$29.30","31","Blackbaud RDO - Internal - Non-prod","Active"
"Strategic Content Development (Docs)","cee137c9-23d5-446d-ba28-9c3f31ac37c6","Reader","$9.36","60","Blackbaud RDO - Engineering System - Dev","Active"
"Cust-Ops VSTS","a02305d7-334c-43de-b4f1-1c180b32f1f2","Reader","$52.41","-","Blackbaud RDO - Customer Success - Dev","Active"
"CustOps - Dev","ebe33ccf-e94b-458e-bef5-639ab3d7d7d9","Reader","$1,082.13","26","Blackbaud RDO - Customer Success - Dev","Active"
"B2C Testing for Identity Management","b45b121a-454b-46c0-9a62-e1780efcc34c","Reader","0.00","-","Blackbaud RDO - Internal - Dev","Active"
"p-aus01","61128873-7a55-425e-adc8-59bdba75d668","Reader","$9,656.80","33","Blackbaud RDO - Engineering System - Prod","Active"
"p-can01","a04a9ac3-f136-4f02-8eb1-9fbd4c805f50","Reader","$6,771.27","36","Blackbaud RDO - Engineering System - Prod","Active"
"p-eur01","9e37b779-7f77-4259-ade8-f9600cb7b49d","Reader","$7,059.11","34","Blackbaud RDO - Engineering System - Prod","Active"
"Dev - D06","aa89a992-d05f-4885-baa0-eb7b605946a3","Reader","$402.06","25","Blackbaud RDO - BLKB CRM_eTapestry_Financial Edge_Raisers Edge - Dev","Active"
"Dev - D07","cc085d57-0f75-4941-9818-b3bf86d50b29","Reader","$881.08","41","Blackbaud RDO - Fundraiser Perf Mgmt_Guided Fundraising_Vol Network Fundraising - Dev","Active"
"NXT APIM Dev","9741d14a-9c15-4d95-956d-d58ae026d234","Reader","$78.34","75","Blackbaud RDO - Engineering System - Dev","Active"
"Dev - D40","38dc1973-b3ec-4db8-8f42-f76fc59e65b0","Reader","$3,322.79","43","Blackbaud RDO - YC - Dev","Active"
"dp-d-usa01","4ea3d908-134c-4c53-a466-507ef4ea4c4b","Reader","$1,196.97","42","Blackbaud RDO - Data Platform - Dev","Active"
"dp-t-usa01","d675d3ff-a488-4f43-9f38-8c7a97483f49","Reader","$685.29","53","Blackbaud RDO - Data Platform - Non-prod","Active"
"d-reg01","c7074d25-5ec2-4285-b9fb-5ad5a11bc8a5","Reader","0.00","-","Blackbaud RDO - Engineering System - Dev","Active"
"Test - T07","68a6884b-5104-498c-aff1-cfcc392328df","Reader","$983.88","40","Blackbaud RDO - Fundraiser Perf Mgmt_Guided Fundraising_Vol Network Fundraising - Non-prod","Active"
"Production - API Management","289fb8d7-c066-49c5-90f6-c2bcc2208905","Reader","$2,046.41","70","Blackbaud RDO - Engineering System - Prod","Active"
"Test - T11","70a515a1-b8b9-4e21-85e3-74440b3ca393","Reader","$0.47","20","Blackbaud RDO - Altru_BLKB CRM_Financial Edge_BBNC_Raisers Edge_Research Point - Non-prod","Active"
"Test - T13","27ce0bfe-5d07-4ce7-ad76-0ff5c2275be7","Reader","$17.97","41","Blackbaud RDO - Blackbaud Communication Services - Non-prod","Active"
"Test - T40","a652b44a-49fd-43a1-9536-492074df3f27","Reader","$2,510.77","40","Blackbaud RDO - YC - Non-prod","Active"
"Test - T45","ab39afd4-e656-4229-a072-8313cc291248","Reader","$2,506.19","71","Blackbaud RDO - Grantmaking - Non-prod","Active"
"t-reg01","2fa20fe9-0dd8-40bd-8fe9-012173d66fc8","Reader","0.00","-","Blackbaud RDO - Engineering System - Non-prod","Active"
"dp-p-can01","76743f8b-8334-4537-a9ba-436c231657c9","Reader","$1,815.11","55","Blackbaud RDO - Data Platform - Prod","Active"
"dp-p-eur01","be142778-9fae-45f2-8ad8-6f743dc828e1","Reader","$2,505.15","55","Blackbaud RDO - Data Platform - Prod","Active"
"dp-p-usa01","9d034a4b-fe28-47fb-8058-017d6d5a2528","Reader","$15,397.23","58","Blackbaud RDO - Data Platform - Prod","Active"
"dp-p-aus01","9015a79f-c20b-45db-b3df-8fef8ca0332f","Reader","$5,474.96","55","Blackbaud RDO - Data Platform - Prod","Active"
"p-reg01","6a689565-51e4-4947-a8e9-87aad20d67c8","Reader","$0.00","33","Blackbaud RDO - Engineering System - Prod","Active"
"Production - S08","30a6347c-6fcc-42b2-ad29-c796821ec441","Reader","0.00","-","Blackbaud RDO - Luminate Online - Prod","Active"
"Production - S10","286f7c3f-377d-464f-8a92-c186399a2582","Reader","$8,194.07","38","Blackbaud RDO - Fundraiser Perf Mgmt_Guided Fundraising_Vol Network Fundraising - Prod","Active"
"Production - S11","0dd0fa4e-665d-40e4-8e2e-6749c061cb3e","Reader","$150.72","25","Blackbaud RDO - Altru_BLKB CRM_Financial Edge_BBNC_Raisers Edge_Research Point - Prod","Active"
"Production - S13","d4f0da40-2025-40aa-8da2-80252cbfcc02","Reader","0.00","-","Blackbaud RDO - Blackbaud Communication Services - Prod","Active"
"Production - S40","594b1ca6-9e11-4d85-9baf-1f1deaabba1c","Reader","$8,125.20","49","Blackbaud RDO - YC - Prod","Active"
"Production - S42","bdaa1b3a-cfcf-4fca-ad6f-d36654ff44f5","Reader","$2,990.53","34","Blackbaud RDO - YC - Prod","Active"
"Production - S45","6fa24ab6-2af5-4ab2-aef0-f5446b043476","Reader","$4,543.74","68","Blackbaud RDO - Grantmaking - Prod","Active"
"Production - S46","3bcaa40f-3d9b-4e6d-9218-abb0caf87bd3","Reader","$3,069.18","65","Blackbaud RDO - Grantmaking - Prod","Active"
